firm,model,drive,frame_type,generation_number,year,restyling_number,mileage,transmission,engine_power,steering_wheel,fuel_type,volume,ownership_periods,price
Nissan,Leaf,FF,HATCH,1,2014,0,130000,SSR,109,right,ELECTRO,0.0,0.0,739196
Lexus,LX570,4WD,SUV,3,2017,2,84960,AUTO,367,left,GASOLINE,5700.0,2.0,5749000
Mazda,Mazda6,FF,SEDAN,3,2016,1,69255,AUTO,150,left,GASOLINE,2000.0,3.0,1499000
Toyota,bB,FF,HATCH,2,2007,0,140000,AT,92,right,GASOLINE,1300.0,0.0,495000
Smart,Fortwo,RR,HATCH_3DR,3,2016,0,57000,AUTO,90,left,GASOLINE,900.0,2.0,900000
Mercedes-Benz,C-Class,FR,SEDAN,3,2012,1,148000,AT,156,left,GASOLINE,1600.0,7.0,1150000
Suzuki,SX4,FF,HATCH,1,2010,1,125000,AT,120,left,GASOLINE,1600.0,2.0,615000
Hyundai,Accent,FF,SEDAN,2,2004,0,220000,MT,90,left,GASOLINE,1500.0,2.0,195000
Mercedes-Benz,M-Class,4WD,SUV,2,2006,0,230000,AUTO,272,left,GASOLINE,3500.0,8.0,750000
Ford,Focus,FF,SEDAN,3,2013,0,231000,SAT,105,left,GASOLINE,1600.0,6.0,430000
Chevrolet,Lanos,FF,SEDAN,1,2009,0,143000,MANUAL,86,left,GASOLINE,1500.0,3.0,157900
Toyota,Corolla Axio,FF,SEDAN,2,2017,2,28000,CVT,109,right,GASOLINE,1500.0,0.0,900000
Nissan,Leaf,FF,HATCH,1,2014,0,83000,SSR,109,right,ELECTRO,0.0,0.0,719196
Renault,Sandero Stepway,FF,HATCH,2,2021,1,0,MT,113,left,GASOLINE,1600.0,0.0,923000
Hyundai,Sonata,FF,SEDAN,7,2018,1,143000,AUTO,150,left,GASOLINE,2000.0,3.0,1200000
Jaguar,XJ,RR,SEDAN,9,2014,0,168000,AUTO,275,left,DIESEL,3000.0,1.0,2299000
Geely,Emgrand EC7,FF,SEDAN,1,2014,0,160000,MT,126,left,GASOLINE,1800.0,3.0,270000
Chevrolet,Niva,4WD,SUV,1,2016,1,64000,MANUAL,80,left,GASOLINE,1700.0,1.0,450000
Hyundai,Sonata,FF,SEDAN,6,2012,0,158375,MT,150,left,GASOLINE,2000.0,1.0,709000
Land Rover,Range Rover Sport,4WD,SUV,1,2008,0,252343,AT,272,left,DIESEL,3600.0,5.0,1100000
Toyota,Land Cruiser,4WD,SUV,9,1990,0,390000,MT,135,left,DIESEL,4200.0,10.0,700000
Land Rover,Freelander,4WD,SUV,2,2008,0,290000,AT,160,left,DIESEL,2200.0,7.0,650000
Volkswagen,Multivan,FF,MINIVAN,5,2015,1,50500,MT,84,left,DIESEL,2000.0,1.0,2290000
Chevrolet,Cruze,FF,HATCH,1,2013,1,132000,MT,141,left,GASOLINE,1800.0,3.0,555000
Ford,Mondeo,FF,SEDAN,4,2010,0,141000,AT,161,left,GASOLINE,2300.0,4.0,600000
Renault,Kaptur,FF,SUV,1,2021,1,0,CVT,149,left,GASOLINE,1300.0,0.0,1544500
BMW,X6,4WD,SUV,1,2012,0,126000,AT,306,left,GASOLINE,3000.0,6.0,1699000
Toyota,RAV4,4WD,SUV,4,2017,1,3400,AT,180,left,GASOLINE,2500.0,1.0,2500000
BMW,5-Series,FR,SEDAN,6,2014,1,75000,AT,184,left,GASOLINE,2000.0,2.0,1900000
Nissan,X-Trail,4WD,SUV,2,2010,0,142500,CVT,141,left,GASOLINE,2000.0,4.0,980000
BMW,5-Series,RR,SEDAN,6,2012,0,156000,AUTO,184,left,GASOLINE,2000.0,9.0,1199000
Infiniti,QX70,4WD,SUV,2,2015,0,92000,AUTO,238,left,DIESEL,3000.0,4.0,2050000
Infiniti,Q50,FR,SEDAN,4,2016,0,41000,AT,211,left,GASOLINE,2000.0,2.0,1699000
Infiniti,M25,FR,SEDAN,4,2012,0,120000,AT,222,left,GASOLINE,2500.0,4.0,1300000
Toyota,Harrier,4WD,SUV,1,1999,0,130000,AT,220,right,GASOLINE,3000.0,0.0,455000
Volkswagen,Polo,FF,SEDAN,5,2016,1,29500,MANUAL,90,left,GASOLINE,1600.0,1.0,761000
Renault,Grand Scenic,FF,MINIVAN,0,2017,0,94178,MANUAL,110,left,DIESEL,1500.0,1.0,1498000
Mitsubishi,Pajero Sport,4WD,SUV,2,2011,0,165000,AT,178,left,DIESEL,2500.0,5.0,1300000
